Name,BSE_code,NSE_code,Industry,Current_Price,Market_Capitalization
Sagar Soya Prod,507663,,Solvent Extraction, 2 , 0 
Elcid Investment,503681,,Finance & Investments, 4 , 0 
PH Trading,512026,,Trading, 2 , 0 
Mrugesh Trading,512065,,Finance & Investments, 5 , 0 
G D Trad&Agency,504346,,Finance & Investments, 21 , 0 
Procal Electroni,526009,,Electronics - Components, 1 , 0 
Purity Flex Pack,523315,,Packaging, 2 , 0 
Turner Industrie,531164,,Diamond Cutting / Jewellery, 1 , 0 
Dugar Housing,511634,,Construction, 12 , 0 
Silicon Valley,531738,,Finance & Investments, 0 , 0 
G-Tech Info.,532139,,Computers - Software - Medium / Small, 2 , 1 
Baron Infotech,532336,,Computers - Software - Medium / Small, 1 , 1 
MPF Systems,532470,,Engineering, 56 , 1 
Silveroak Comm,512197,,Construction, 4 , 1 
Raymed Labs,531207,,Pharmaceuticals - Indian - Formulations, 2 , 1 
Rajvi Logitrade,511185,,Miscellaneous, 11 , 1 
Omansh Enterpri.,538537,,Trading, 1 , 1 
Blue Pearl,514440,,Trading, 46 , 1 
Stellant Secu.,526071,,Finance & Investments, 17 , 1 
IMEC Services,513295,,Miscellaneous, 7 , 1 
Indo Credit Cap.,526887,,Finance & Investments, 2 , 1 
Pasupati Fincap,511734,,Finance & Investments, 3 , 1 
Hi-Tech Winding,541627,,Paper, 3 , 2 
Deccan Polypacks,531989,,Packaging, 8 , 2 
TMT (I),522171,,Engineering, 4 , 2 
Tridev Infra.,531568,,Finance & Investments, 3 , 2 
Oswal Leasing,509099,,Finance & Investments, 38 , 2 
Fourth Gen.,532403,,Computers - Software - Medium / Small, 5 , 2 
Darjeeling Ropew,539770,,Construction, 7 , 2 
Aneri Fincap,531252,,Finance & Investments, 7 , 2 
Hindusthan Udyog,513039,,Engineering, 3 , 2 
Geetanjali Cred.,539486,,Finance & Investments, 5 , 2 
Supra Trends,511539,,Textiles - Products, 43 , 2 
Magnus Retail,517320,,Miscellaneous, 6 , 2 
M Lakhamsi Ind,512153,,Trading, 4 , 2 
Goldcoin Health,538542,,Trading, 8 , 2 
Bronze Infra,534731,,Construction, 1 , 2 
Concrete Infra,539266,,Trading, 3 , 2 
Transglobe Foods,519367,,Food - Processing - Indian, 162 , 2 
Omkar Overseas,531496,,Trading, 5 , 2 
Neogem India,526195,,Diamond Cutting / Jewellery, 3 , 2 
Kanungo Financi.,540515,,Finance & Investments, 5 , 2 
Peoples Invest,501144,,Finance & Investments, 125 , 3 
Swadeshi Inds,506863,,Trading, 2 , 3 
Bansisons Tea,519353,,Tea, 4 , 3 
Euro Asia Export,530929,,Trading, 16 , 3 
JPT Securities,530985,,Finance & Investments, 9 , 3 
Premium Capital,511660,,Finance & Investments, 4 , 3 
Tricom Fruit,531716,,Food - Processing - Indian, 1 , 3 
Carnation Inds.,530609,,Castings & Forgings, 8 , 3 
Kome-on Commun.,539910,,Entertainment / Electronic Media Software, 2 , 3 
Vasa Retail,,VASA,Trading, 5 , 3 
Gleam Fabmat,542477,,Trading, 3 , 3 
Khyati Multimed.,531692,,Entertainment / Electronic Media Software, 3 , 3 
Rajvir Inds.,532665,RAJVIR,Textiles - Jute - Yarn / Products, 7 , 3 
Universal Arts,532378,,Entertainment / Electronic Media Software, 3 , 3 
Dolphin Medical,526504,,Healthcare, 2 , 3 
S R Industries,513515,,Leather / Leather Products, 1 , 3 
Oscar Global,530173,,Leather / Leather Products, 9 , 3 
Shivansh Finserv,539593,,Finance & Investments, 5 , 3 
Source Industrie,521036,,Textiles - Processing, 3 , 3 
Tiaan Consumer,540108,,Trading, 3 , 3 
Nikki Glob.Fin.,531272,,Finance & Investments, 8 , 3 
Charms Industrie,531327,,Finance & Investments, 7 , 3 
Madhur Inds,519279,,Food - Processing - Indian, 7 , 3 
ACE EduTremd Ltd,530093,,Miscellaneous, 3 , 3 
Kanel Indust.,500236,,Trading, 2 , 3 
SBL Infratech,543366,,Construction, 36 , 3 
Krishna Fil. Ind,500248,,Textiles - Products, 4 , 3 
Rajeswari Infra.,526823,,Construction, 5 , 3 
Decorous Investm,539405,,Miscellaneous, 9 , 3 
Twinstar Indus.,531917,,Computers - Software - Medium / Small, 1 , 3 
Natura Hue Chem,531834,,Miscellaneous, 7 , 3 
CMM Infraproj,,CMMIPL,Construction, 2 , 3 
Arcee Industries,520121,,Steel - Medium / Small, 6 , 3 
Manor Estates,526115,,Construction, 4 , 3 
Saptak Chem &,506906,,Trading, 3 , 3 
SSPN FINANCE,539026,,Finance & Investments, 8 , 3 
Kuberan Global,543289,,Miscellaneous, 15 , 3 
PFL Infotech,531769,,Computers - Software - Medium / Small, 4 , 3 
City Online Ser.,538674,,Telecommunications - Service Provider, 6 , 3 
Richa Industries,532766,,Construction, 1 , 3 
Cistro Telelink,531775,,Trading, 1 , 3 
B P Capital,536965,,Finance & Investments, 6 , 3 
Vax Housing Fin.,531650,,Finance & Investments, 3 , 3 
Spectra Industri,513687,,Auto Ancillaries, 5 , 3 
JLA Infraville,538765,,Trading, 5 , 3 
Ekam Leasing,530581,,Finance & Investments, 6 , 3 
Kabra Drugs,524322,,Pharmaceuticals - Indian - Formulations, 8 , 3 
Uniworth,514144,,Textiles - Products, 1 , 3 
Aviva Industries,512109,,Trading, 24 , 4 
Abhishek Infra.,539544,,Construction, 7 , 4 
Systematix Sec.,531432,,Finance & Investments, 7 , 4 
Dharani Finance,511451,,Finance & Investments, 7 , 4 
Radhagobind Comm,539673,,Trading, 2 , 4 
R R Securities,530917,,Finance & Investments, 12 , 4 
Heera Ispat,526967,,Steel - Medium / Small, 6 , 4 
Kiran Syntex,530443,,Textiles - Spinning - Synthetic / Blended, 9 , 4 
Hanman Fit,538731,,Miscellaneous, 4 , 4 
Pagaria Energy,531396,,Mining / Minerals / Metals, 9 , 4 
High Street Fila,531301,,Trading, 59 , 4 
Regency Trust,511585,,Miscellaneous, 4 , 4 
Maruti Sec.,531319,,Finance & Investments, 8 , 4 
Jyothi Infra.,531537,,Construction, 25 , 4 
Gopal Iron Stl.,531913,,Trading, 8 , 4 
Taaza Intern.,537392,,Trading, 5 , 4 
Eureka Industrie,521137,,Textiles - Cotton/Blended, 5 , 4 
Diamant Infra.,508860,,Construction, 1 , 4 
Vitesse Agro,540823,,Trading, 9 , 4 
Adjia Tech,543269,,Computers - Software - Medium / Small, 45 , 4 
Hemo Organic,524590,,Chemicals, 12 , 4 
Pro CLB,540703,,Miscellaneous, 8 , 4 
Rajkot Inv.Trust,539495,,Finance & Investments, 40 , 4 
Jauss Polymers,526001,,Plastics Products, 9 , 4 
Class. Gl. Fin.,538433,,Finance & Investments, 1 , 4 
Chandrima Mercan,540829,,Trading, 19 , 4 
Desh Rakshak,531521,,Pharmaceuticals - Indian - Formulations, 9 , 4 
Fraser & Company,539032,,Trading, 5 , 4 
Kaarya Facilit.,540756,,Miscellaneous, 4 , 4 
Gravity (India),532015,,Textiles - Processing, 5 , 4 
Classic Leasing,540481,,Finance & Investments, 14 , 4 
T. Spiritual,532444,,Trading, 2 , 4 
EMA India,522027,,Engineering, 42 , 4 
Futuristic Sec.,523113,,Finance & Investments, 22 , 4 
Shelter Infra,526839,,Miscellaneous, 12 , 4 
KLG Capital,530771,,Finance & Investments, 13 , 4 
Amerise BioScie,531681,,Finance & Investments, 1 , 4 
Ashoka Refinerie,526983,,Trading, 13 , 4 
MFS Intercorp,513721,,Mining / Minerals / Metals, 10 , 4 
Svarnim Trade Ud,539911,,Trading, 18 , 4 
Hit Kit Global,532359,,Trading, 1 , 4 
Sikozy Realtors,524642,,Construction, 1 , 4 
Diksha Greens,542155,,Miscellaneous, 4 , 4 
New Light Appare,540243,,Trading, 20 , 4 
Dhenu Buildcon,501945,,Finance & Investments, 2 , 4 
Manipal Fin. Cor,507938,,Finance & Investments, 5 , 4 
Gangotri Textile,521176,GANGOTRI,Textiles - Cotton/Blended, 1 , 4 
Purple Entertain,540159,,Entertainment / Electronic Media Software, 5 , 4 
Mercury Trade Li,512415,,Trading, 17 , 4 
Elango Industrie,513452,,Miscellaneous, 12 , 5 
Multipurpose Trd,504356,,Finance & Investments, 9 , 5 
PAE,517230,,Auto Ancillaries, 4 , 5 
Gyan Developers,530141,,Construction, 15 , 5 
Mahaveer Infoway,539383,,Computers - Software - Medium / Small, 8 , 5 
Sarthak Global,530993,,Finance & Investments, 15 , 5 
Sr. Jayala. Auto,530037,,Textiles - Cotton/Blended, 10 , 5 
Ambition Mica,539223,,Miscellaneous, 3 , 5 
Starlite Comp.,517548,,Trading, 3 , 5 
Innocorp,531929,,Plastics Products, 6 , 5 
GCM Commodity,535917,,Finance & Investments, 6 , 5 
Siddhes. Garment,526877,,Trading, 14 , 5 
Encode Packaging,530733,,Packaging, 15 , 5 
KEN Fin.Serv.,530547,,Finance & Investments, 16 , 5 
Kuber Udyog,539408,,Finance & Investments, 14 , 5 
Padmanabh Inds.,526905,,Chemicals, 8 , 5 
Mahesh Developer,542677,,Construction, 11 , 5 
Atharv Enter,530187,,Trading, 3 , 5 
